conversion_id,impression_id,user_id,ad_id,conversion_type,conversion_value,timestamp,device,platform
0,62,4,4,Application Started,0.0,2025-04-24 07:58:23,mobile,social_media
1,80,5,3,Sign Up,0.0,2025-04-08 17:25:25,mobile,social_media
2,155,8,1,Sign Up,0.0,2025-04-04 22:58:42,mobile,app
3,158,8,23,Purchase,101.82052840319841,2025-04-11 21:23:18,mobile,search_engine
4,172,8,22,Add to Cart,40.362196552534726,2025-04-06 11:27:17,mobile,social_media
5,522,26,1,Free Trial,0.0,2025-04-12 07:53:54,mobile,search_engine
6,535,27,2,Application Started,0.0,2025-04-06 21:06:13,desktop,website
7,752,37,12,Sign Up,0.0,2025-04-09 04:13:30,mobile,website
8,1579,82,11,Purchase,284.3307618918492,2025-04-23 15:23:29,desktop,website
9,1727,89,16,Upsell,183.14198509235823,2025-04-18 11:57:09,mobile,app
10,1755,91,24,Purchase,344.5200698850928,2025-04-21 14:34:27,mobile,website
11,2013,103,8,Sign Up,0.0,2025-05-03 20:34:03,mobile,search_engine
12,2090,107,4,Application Started,0.0,2025-05-01 13:09:41,mobile,app
13,2155,111,6,Free Trial,0.0,2025-04-14 19:32:45,mobile,social_media
14,2372,122,3,Sign Up,0.0,2025-04-27 23:05:00,desktop,social_media
15,2418,124,23,Add to Cart,25.904835575247187,2025-04-28 01:01:34,mobile,search_engine
16,2464,126,2,Interview Scheduled,0.0,2025-04-11 09:56:49,mobile,social_media
17,2468,127,23,Add to Cart,47.879225012938946,2025-04-27 09:53:51,desktop,website
18,2478,127,22,Add to Cart,49.213519342838616,2025-04-16 13:22:36,desktop,website
19,2814,144,4,Application Started,0.0,2025-04-20 08:41:24,mobile,social_media
20,2879,147,8,Sign Up,0.0,2025-05-03 10:33:39,mobile,website
21,3065,157,18,Sign Up,0.0,2025-04-14 17:05:22,mobile,search_engine
22,3635,184,21,Application Started,0.0,2025-04-13 18:13:05,desktop,social_media
23,3855,194,24,Add to Cart,23.310894488486223,2025-04-16 14:22:33,mobile,website
24,4312,218,6,Sign Up,0.0,2025-04-10 00:15:43,mobile,social_media
25,4582,232,6,Free Trial,0.0,2025-04-07 19:25:08,mobile,social_media
26,4936,249,15,Application Started,0.0,2025-04-20 14:31:23,desktop,search_engine
27,4956,251,19,Subscription,19.744450076117964,2025-04-27 06:00:04,desktop,social_media
28,5162,260,9,Sign Up,0.0,2025-04-08 18:05:17,mobile,social_media
29,5225,264,21,Application Completed,0.0,2025-04-18 12:05:44,mobile,search_engine
30,5301,267,7,Application Started,0.0,2025-04-12 22:46:56,mobile,search_engine
31,5562,281,22,Upsell,156.22690486653102,2025-04-16 23:02:08,mobile,social_media
32,5777,293,6,Free Trial,0.0,2025-04-21 04:39:23,mobile,app
33,5830,295,16,Add to Cart,36.00517067463287,2025-04-11 00:34:51,desktop,website
34,5934,300,11,Purchase,244.85903353080036,2025-04-25 23:55:29,mobile,social_media
35,5944,300,5,Add to Cart,36.14704618090475,2025-04-16 01:41:08,mobile,website
36,6021,304,11,Add to Cart,41.671238661231655,2025-05-03 10:37:06,mobile,search_engine
37,6068,306,4,Application Started,0.0,2025-04-07 08:51:32,mobile,search_engine
38,6240,315,5,Purchase,463.14266332382806,2025-04-11 18:42:29,mobile,website
39,6433,326,15,Application Completed,0.0,2025-05-04 11:45:25,mobile,search_engine
40,6612,334,11,Add to Cart,34.72574258666279,2025-04-05 06:35:15,mobile,social_media
41,6812,344,0,Interview Scheduled,0.0,2025-04-14 07:09:58,mobile,website
42,6858,346,12,Free Trial,0.0,2025-04-11 15:31:40,mobile,website
43,6959,351,10,Add to Cart,38.63616113934619,2025-05-03 21:41:39,mobile,app
44,7497,379,3,Sign Up,0.0,2025-04-30 01:24:01,mobile,search_engine
45,7601,384,8,Subscription,49.36928324092527,2025-05-01 01:43:46,mobile,website
46,7703,389,17,Interview Scheduled,0.0,2025-04-16 17:10:42,mobile,search_engine
47,7846,397,24,Purchase,201.93206824165125,2025-04-26 10:00:14,mobile,app
48,7925,400,20,Sign Up,0.0,2025-04-16 11:32:53,mobile,social_media
49,8003,404,6,Subscription,25.16543931821128,2025-05-03 04:13:17,mobile,app
50,8036,405,10,Upsell,163.53717085038113,2025-04-12 15:51:15,mobile,app
51,8567,434,7,Application Started,0.0,2025-04-20 21:57:27,mobile,app
