impression_id,user_id,ad_id,timestamp,clicked,device,platform,operating_system,browser,connection_type,pages_in_session,session_duration_seconds,visitor_status
0,0,14,2025-04-15 12:07:54,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
1,0,8,2025-04-07 21:01:17,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
2,0,11,2025-05-02 23:14:47,1,mobile,app,Android,Chrome,WiFi,3,249,Returning
3,0,21,2025-04-06 16:09:31,0,mobile,search_engine,Android,Chrome,WiFi,3,249,Returning
4,0,4,2025-04-07 12:18:40,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
5,0,20,2025-04-30 01:42:58,0,mobile,search_engine,Android,Chrome,WiFi,3,249,Returning
6,0,16,2025-04-12 19:06:43,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
7,0,15,2025-04-26 14:27:35,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
8,0,18,2025-04-26 08:23:47,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
9,0,23,2025-05-01 16:36:35,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
10,0,7,2025-04-19 18:53:37,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
11,0,22,2025-04-27 20:09:15,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
12,1,24,2025-05-04 15:20:39,0,desktop,app,Windows,Edge,4G,9,849,Returning
13,1,7,2025-04-07 22:15:04,0,desktop,app,Windows,Edge,4G,9,849,Returning
14,1,13,2025-04-16 11:15:39,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
15,1,23,2025-04-14 14:28:02,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
16,1,21,2025-04-22 02:22:50,0,desktop,app,Windows,Edge,4G,9,849,Returning
17,1,12,2025-04-10 07:59:13,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
18,1,2,2025-04-22 00:38:44,0,desktop,app,Windows,Edge,4G,9,849,Returning
19,1,8,2025-05-04 08:35:29,0,desktop,website,Windows,Edge,4G,9,849,Returning
