user_id,age_group,gender,ethnicity,socioeconomic_status,disability_status,education,income,location,region,state,location_detail,population_density,primary_os,primary_browser,connection_type,screen_size,browse_depth,session_duration,visitor_status,customer_value,relationship_status,occupation,interest_technology,interest_sports,interest_travel,interest_food,interest_fashion,interest_gaming,interest_arts,interest_health,interest_education,interest_finance,browsing_tech,browsing_finance,browsing_healthcare,browsing_education,browsing_professional,browsing_shopping,browsing_entertainment,activity_morning,activity_afternoon,activity_evening,activity_night,pages_per_session,seconds_per_session,browsing_travel
0,45-54,Female,Black,Low,None,Bachelor's,$25k-$50k,Urban,Southeast,CT,Small City,Very High,Android,Chrome,WiFi,Medium,Medium (3-5 pages),Medium (1-5 min),Returning,Medium,Married,Technical,0.2743234448827026,0.36147139257238786,0.7602734830602675,0.2949420128401694,0.08971339855839701,0.35188769937569886,0.5765071691134236,0.5043751985846867,0.286392181212837,0.13747413101006972,0.40097356509071025,0.24092951165838425,0.14722810567673963,0.34201701466379514,0.3320882341610008,0.17749225236422078,0.37859317175903023,0.6659889616313042,0.7949171606575213,0.3232734165598715,0.045332638365642955,3,249,
1,35-44,Female,White,High,Sensory,High School,$75k-$100k,Rural,West,NE,Inner Suburb,Medium,Windows,Edge,4G,Large,High (6+ pages),Long (> 5 min),Returning,Low,Single,Technical,0.19115379409405206,0.036898479125742546,0.4919985445797037,0.3872732275847113,0.22448166141096645,0.45048220443066633,0.39391245490796484,0.1990270951182574,0.2899926685610478,0.36930308123051525,0.13287011057622,0.7052612351547622,0.2698212231597488,0.39883188541516096,0.5784353147698967,0.22117091325537272,0.5783977867894261,0.5761389628770252,0.29835542413997135,0.40044971155040376,0.41437446533687133,9,849,0.0
2,55-64,Female,White,High,Cognitive,High School,$25k-$50k,Urban,Southeast,MO,Urban Core,High,iOS,Safari,WiFi,Large,Low (1-2 pages),Long (> 5 min),Returning,Low,Single,Professional,0.3194036503667696,0.21327782006621146,0.33789458396129884,0.2539827691559646,0.10447530677726888,0.21530834063829782,0.1785396517631492,0.16528516831465404,0.05371701068118204,0.16492210801178966,0.2225740984856557,1.0,0.8009884846501345,0.6406460701816664,0.5285274767171432,0.1561264465991457,0.4689098383494538,0.3270404352989185,0.3693013080112898,0.6484941653546635,0.5178234504648286,1,470,0.0
3,25-34,Male,Hispanic,Medium,Physical,Some College,$0-$25k,Urban,Southeast,NH,Town,Medium,Android,Safari,4G,Large,Medium (3-5 pages),Medium (1-5 min),New,Medium,Married,Unemployed,0.11608701433218446,0.0382653679833029,0.5813617857857432,0.4190261690623392,0.4273470354585797,0.3320625822584669,0.5530619374467303,0.4761017938368714,0.11481115565376819,0.38174592812185626,0.32061511685997574,0.0854282469814573,0.30859197130686783,0.6032963749718834,0.48197841816573195,0.34056630400011334,0.1568860459611424,0.5913247665633412,0.3872058124344544,0.9565274300222778,0.580382420455482,4,244,
4,45-54,Female,White,Low,None,High School,$75k-$100k,Urban,West,TN,Outer Suburb,High,Android,Safari,Cable,Small,High (6+ pages),Medium (1-5 min),Returning,VIP,Divorced,Student,0.04836627030451652,0.19243493522720265,0.4954793681742287,0.5111502321568545,0.3705382331475347,0.09289433013845398,0.22692848110632624,0.2625239852581083,0.5595267712418742,0.530242929505176,0.20485102260318563,0.09090656404697482,0.08788482381340776,0.1663821824296682,0.39749092291829063,0.14994164052382908,0.2168523032673727,0.3693835614163871,0.212397990972206,0.3857776499752688,0.4840235623304162,12,282,
5,25-34,Female,Other,High,Physical,High School,$25k-$50k,Suburban,Midwest,VA,Urban Core,Medium,iOS,Chrome,5G,Small,Low (1-2 pages),Medium (1-5 min),New,Low,Single,Professional,0.4652751198782986,0.11316937999640239,0.06736935708230612,0.28002945276953856,0.45384149529839174,0.009702259084052136,0.03644527303249452,0.015522569477110995,0.33107945738201106,0.26312880614091294,0.7152099603161062,0.3990933813469115,0.3744074976083481,0.024197294073395714,0.3743645019562542,0.23038320214567515,0.04471027699201724,0.8545835379627852,0.4602320426099901,0.5384463519634097,0.6821090092121297,1,142,0.0
6,25-34,Female,White,Medium,None,Some College,$100k+,Urban,Southwest,KY,Inner Suburb,Low,iOS,Chrome,4G,Medium,Medium (3-5 pages),Medium (1-5 min),Returning,Low,Single,Service,0.1903200710567235,0.373253189400208,0.4660101908503137,0.04088713566950754,0.1909397656823498,0.30074004175765323,0.35537362113199455,0.15523481353544377,0.11547374873232448,0.3205027792270465,0.7721178999455767,0.3864964590098574,0.3818953036015553,0.3561861600782064,0.1754041660850796,0.438350572245295,0.3552986484208178,0.2773494495463623,0.06372570830645315,0.20839055840533163,0.8163071833115273,4,161,
7,35-44,Female,Hispanic,Medium,Cognitive,Some College,$75k-$100k,Rural,Southeast,VA,Outer Suburb,Medium,Android,Chrome,4G,Small,Medium (3-5 pages),Long (> 5 min),New,Medium,Married,Service,0.2658068666559035,0.1402460054664417,0.09047587802832853,0.11154355832180188,0.39661112651502994,0.3574397956986102,0.06503377903887449,0.007094914142424507,0.009503025167344813,0.08998060689122055,0.41347412146004714,0.4526974313764546,1.0,0.5412433276785346,0.10014893558461573,0.30911783844530066,0.40418671237398585,0.570877712305623,0.9013811298678721,0.4663573851598909,0.6158050787918546,4,1052,
8,18-24,Male,Hispanic,Low,None,High School,$50k-$75k,Rural,Northeast,NH,Small City,Medium,iOS,Chrome,WiFi,Medium,Low (1-2 pages),Long (> 5 min),New,Medium,Married,Administrative,0.08526681673086503,0.601058139516942,0.02841530913555397,0.19085829526562903,0.46535452657898524,0.7386853442740354,0.037331085643027645,0.07490721845054187,0.24316774298974464,0.14558806311571976,0.2934590434599603,0.42980872806806963,0.10539799432142556,0.07245880031710973,0.18198196197310282,0.2193437050594058,0.29317484826590035,0.655544113895869,0.7439286106890045,0.4912467823921018,0.480932416733521,1,538,
9,35-44,Female,White,High,None,Bachelor's,$100k+,Suburban,West,NJ,Inner Suburb,Very High,iOS,Chrome,WiFi,Small,Medium (3-5 pages),Medium (1-5 min),Returning,Low,Single,Technical,0.19454143577711974,0.36684667219273875,0.20374298112235784,0.005565065236598502,0.3161978512489929,0.06325327825491385,0.10511093902764725,0.013294117012971535,0.5498203240522902,0.2572626996105356,0.23973730205618113,0.32471345241120697,0.2671137664811214,0.08638679580536997,0.28664268987035185,0.288258780891511,0.16129939600855894,0.406897467608773,0.6676580591948812,0.5218527378470748,0.29802372174570574,3,265,0.0
10,35-44,Female,White,Medium,None,Some College,$25k-$50k,Urban,Midwest,MI,Urban Core,Medium,iOS,Chrome,5G,Small,High (6+ pages),Medium (1-5 min),Loyal,Medium,Single,Student,0.5360471887959793,0.5696099461291261,0.10354483387653847,0.37937306476477817,0.11650185968169814,0.04214546267958837,0.4602564194377655,0.5217351202643099,0.32651597255915493,0.2998912753356987,0.5327066455328401,0.39228566223828876,0.5235401257594565,0.17699594563555537,0.02337827137475459,0.4374232109171306,0.15422215744718235,0.6143387819203956,0.3532803532851649,0.41040245641619005,0.6891197557381401,11,65,
11,18-24,Non-binary,Indigenous,Medium,None,Some College,$25k-$50k,Suburban,Southeast,CA,Inner Suburb,High,Android,Chrome,DSL,Small,Medium (3-5 pages),Medium (1-5 min),New,Low,Married,Service,0.6420617193973069,0.6094706173719666,0.526627639066563,0.38747117111955554,0.09265147542952278,0.5137281933424498,0.5586729746912659,0.24467189058962327,0.22823276818503543,0.5000149394366125,0.48776243222721294,0.28333380369559324,0.3447402942774065,0.24318585068717027,0.27565601539171003,0.3657774363276581,0.31316430874885576,0.7799828012093922,0.617346834049306,0.9053288635881763,0.31861586247462104,5,109,
12,55-64,Female,White,Medium,None,Bachelor's,$25k-$50k,Urban,Northeast,NJ,Outer Suburb,Low,iOS,Samsung Browser,Cable,Extra Large,Medium (3-5 pages),Medium (1-5 min),Returning,VIP,Married,Administrative,0.036900105975658924,0.8085421953982772,0.21002697370723017,0.04687336762183794,0.25976953110367434,0.35555549209220316,0.0411888236865932,0.15128521506764978,0.052840146400040255,0.6772374146451586,0.4033229124474943,0.20145548828506993,0.06392795457123723,0.33340949807446135,0.3173609180272195,0.17217209157140617,0.16152080315713746,0.4856016965607466,0.40809556839502475,0.5070575246101546,0.2578950961467185,5,191,
13,18-24,Female,White,Medium,None,Bachelor's,$0-$25k,Suburban,West,TN,Small City,Very High,Android,Chrome,4G,Small,High (6+ pages),Short (< 1 min),Returning,Low,Divorced,Management,0.16287853984288797,0.4873710139017921,0.3581364185928381,0.23227923661460761,0.09591787669097411,0.418341765138749,0.04833574702343963,0.036335723666313456,0.5169289539112696,0.10460721484217676,0.34857180895142886,0.0744458683742072,0.46062603907802996,0.32719332340750357,0.038137447575782364,0.5056608382747055,0.24964723232210118,0.7148952390504357,0.7607464219853021,0.05416939976231752,0.5328625171055862,11,12,
14,65+,Female,White,Medium,None,Bachelor's,$50k-$75k,Urban,Southeast,ME,Urban Core,Low,iOS,Chrome,WiFi,Medium,Medium (3-5 pages),Medium (1-5 min),Loyal,High,Single,Student,0.08182174231177008,0.25689847733720184,0.07454403461470943,0.428372877229771,0.1630257828904916,0.6275092764481822,0.09440303531845941,0.6148434407954532,0.5846417190571276,0.061619667391964054,0.3874221564513798,0.7618650313672249,1.0,0.20745565419826584,0.16960404367633689,0.04358522948293636,0.24018926115499056,0.3503749390758463,0.5515790916575612,0.20595314343150747,0.8794675744943807,5,140,
15,35-44,Female,Black,High,None,Some College,$25k-$50k,Suburban,Midwest,MA,Outer Suburb,Medium,Android,Chrome,4G,Small,Medium (3-5 pages),Long (> 5 min),New,Medium,Married,Student,0.058551385350359045,0.3361518570061429,0.08868131303738025,0.35082535458546954,0.38291655243887124,0.22712752489438917,0.14768000727298877,0.07023823883484634,0.44138838197268054,0.4059333494551439,0.4079497870322947,0.45787844420569423,0.11138487400030629,0.2841759762288416,0.40365268664751913,0.05247037764014241,0.20018687774036134,0.1826903302065049,0.8900047694908743,0.3812465372766473,0.48890235655267567,3,1040,0.0
16,35-44,Female,White,Low,None,Bachelor's,$25k-$50k,Urban,Midwest,MD,Urban Core,Low,iOS,Safari,5G,Medium,High (6+ pages),Medium (1-5 min),Loyal,Medium,Single,Management,0.37419108729594436,0.10236815036233647,0.6196037870433286,0.09776595138213769,0.4766642504488326,0.3709384678575697,0.22460354664142823,0.1698747568726728,0.18914209715676192,0.3132374261657587,0.07981446608635265,0.10974143440612015,0.45149170110824344,0.44514151961308923,0.17127073853663838,0.17738052057604475,0.09538251686936514,0.4848557920378191,0.27161946386538544,0.1940527104992201,0.13508658431528242,14,237,
