user_id,age_group,gender,ethnicity,socioeconomic_status,disability_status,education,income,location,region,state,location_detail,population_density,primary_os,primary_browser,connection_type,screen_size,browse_depth,session_duration,visitor_status,customer_value,relationship_status,occupation,interest_technology,interest_sports,interest_travel,interest_food,interest_fashion,interest_gaming,interest_arts,interest_health,interest_education,interest_finance,browsing_tech,browsing_finance,browsing_healthcare,browsing_education,browsing_professional,browsing_shopping,browsing_entertainment,activity_morning,activity_afternoon,activity_evening,activity_night,pages_per_session,seconds_per_session,browsing_travel
0,45-54,Female,White,Low,Physical,Some College,$0-$25k,Suburban,West,NY,Inner Suburb,Medium,Windows,Edge,WiFi,Medium,Medium (3-5 pages),Medium (1-5 min),Returning,Medium,Married,Administrative,0.07929986982133846,0.17461939334150037,0.07603475579058948,0.1239016524241761,0.21898092556788556,0.40984594707616906,0.42556339421882255,0.6505738930299833,0.06034444263957065,0.28965539485245145,0.26495126559143733,0.07422496354309396,0.8759985703378775,0.40722754425619034,0.5539365351344876,0.39055868493649726,0.07693053652077418,0.859861261552618,0.34320302612082904,0.21620759008776974,0.4679963206750542,5,201,
1,35-44,Female,Black,Medium,Cognitive,Bachelor's,$100k+,Suburban,Midwest,VT,Outer Suburb,Medium,Android,Edge,WiFi,Medium,Medium (3-5 pages),Short (< 1 min),Returning,High,Divorced,Other,0.5706770682378934,0.5280140870933883,0.43964600998635134,0.2798909216279226,0.04593745126577132,0.13962706147853854,0.014556089503496966,0.3235383095650847,0.22464981642813855,0.27023848074898055,0.3180925121712758,0.15754791916506505,0.2881671998466586,0.3503258927519025,0.15665173972214444,0.17106932726258647,0.12870928352944033,0.416146857529708,0.28880274883369306,0.7646047086184469,0.3012863056654961,3,28,
2,55-64,Non-binary,White,Low,None,Some College,$100k+,Suburban,Midwest,NH,Outer Suburb,Low,Windows,Chrome,WiFi,Small,Low (1-2 pages),Short (< 1 min),Loyal,Low,Single,Technical,0.3585969350023495,0.3697416318699158,0.6202934614730807,0.38998542602063835,0.5236754276123489,0.6917281016994575,0.07533026073288715,0.039379241524505934,0.0936476695308916,0.42316291794594396,0.3250284042189932,0.25019615862550865,0.3619866300388861,0.24480876009949767,0.6267147079326609,0.07880368997411705,0.3405434959229388,0.4014125810890077,0.44432107362512513,0.33981613985056464,0.20229705237252457,2,26,
3,25-34,Male,Asian,High,None,High School,$25k-$50k,Rural,Midwest,SD,Urban Core,High,Android,Chrome,4G,Medium,Medium (3-5 pages),Long (> 5 min),New,Medium,Married,Service,0.22487518956200678,0.002840251255090008,0.13328195473799487,0.017510516705846364,0.008221720096348778,0.3578433882107484,0.7204375678458296,0.17507901110629592,0.33771594696030666,0.28847753749403815,0.05980805235543345,0.2822040687676226,0.1354681281879175,0.7484278939559474,0.20213414265465202,0.13732886550603485,0.22986983929408022,0.34173236534308027,0.3409434522372172,0.184461442902646,0.9096670741599265,5,677,0.0
4,45-54,Female,White,Medium,Physical,High School,$25k-$50k,Suburban,Northeast,DC,Outer Suburb,High,iOS,Safari,4G,Medium,Medium (3-5 pages),Medium (1-5 min),New,High,Divorced,Unemployed,0.153297530922157,0.10683549656986407,0.01257057527349598,0.20194969245100766,0.3726946518712349,0.04599158343386878,0.12249436121758998,0.23626695636622083,0.18492822561111338,0.2953077124305897,0.3190135234367512,0.14219467455744636,0.7066733963197254,0.12270520236706864,0.22673743499522703,0.24564534560642123,0.04439182968001037,0.6163690139867412,0.5021990893824991,0.3289804862886497,0.8654570085061926,4,103,
5,25-34,Non-binary,White,Medium,None,Bachelor's,$50k-$75k,Suburban,Midwest,ME,Urban Core,Medium,Windows,Samsung Browser,4G,Small,Low (1-2 pages),Medium (1-5 min),Returning,Low,Single,Management,0.3219745092220763,0.6454835871883411,0.4789061760303893,0.09372644240882526,0.38235522058925464,0.20036666135811473,0.03699359085418878,0.35561325488369083,0.04483510133995372,0.03290676222406192,0.7353770157491248,0.23601059679827846,0.21767589127902315,0.28114564718015345,0.19843878783739385,0.13945543574462546,0.6865407315357707,0.417951840741225,0.7251185658870497,0.5772931121741683,0.2684561058132723,1,208,
6,25-34,Non-binary,White,Medium,Physical,Bachelor's,$0-$25k,Rural,West,NY,Inner Suburb,High,Android,Chrome,Fiber,Small,Medium (3-5 pages),Short (< 1 min),Returning,Medium,In Relationship,Professional,0.6902301218432177,0.5713320589523785,0.28788982049789064,0.14035040203947258,0.30519325794892244,0.6746970039943223,0.46585071629108893,0.02579889627692662,0.16635864547685267,0.5381930742345066,0.6070079553741919,0.14228748175400974,0.23693511079312368,0.009791447045867263,0.3563762621970783,0.1981259193274802,0.5352204638777162,0.5196750911374293,0.501803175213371,0.34897104332588835,0.46868584044575495,4,43,
7,35-44,Female,Other,Medium,None,Bachelor's,$75k-$100k,Rural,Southeast,ME,Outer Suburb,Low,Windows,Edge,4G,Extra Large,Medium (3-5 pages),Long (> 5 min),Returning,Low,Single,Administrative,0.2209829749073043,0.3580421373429441,0.033079788752786644,0.36381201666921154,0.17563196057405545,0.10427391176808223,0.07862512904386569,0.14524022208349013,0.48022499617838804,0.6508730829618226,0.55783104291685,0.2017957531347137,0.08996743873932225,0.6793205241431798,0.08662111802112091,0.6026224409604153,0.28397185240861605,0.6763038019592856,0.29201532771281224,0.5991014469380516,0.8063826147695888,5,785,
8,18-24,Male,White,Low,None,Some College,$75k-$100k,Urban,Southwest,KS,Small City,Very High,iOS,Firefox,5G,Medium,Low (1-2 pages),Short (< 1 min),Returning,Low,In Relationship,Technical,0.19584928614611513,0.4122472029855188,0.5932941627237004,0.3280455965172739,0.05868632084931896,0.26344516164216775,0.15792883205300295,0.027116743318560326,0.8631435611813165,0.2064457167899136,0.5568200962788143,0.52637370550836,0.49332080387689,0.253198132740331,0.03967848427491651,0.4230404667970814,0.30564048043955033,0.5573573776742797,0.5202309428951214,0.24596756017759616,0.7356067353229733,1,40,
9,35-44,Non-binary,Black,Medium,None,PhD,$0-$25k,Urban,Northeast,MI,Inner Suburb,Low,iOS,Firefox,Fiber,Extra Large,Medium (3-5 pages),Medium (1-5 min),Returning,VIP,Single,Sales,0.4395203380215868,0.04465034378962172,0.30810514922462906,0.4301041432501657,0.3610724421766581,0.3016292473888237,0.1791989531694271,0.3153654399739752,0.22584390660579745,0.456071100869689,0.26201089175990616,0.06573053281192967,0.41475685240096555,0.03787450365769096,0.6531042505675125,0.5029911152872408,0.1653906727664147,0.45363692973388997,0.35554717733219166,0.12709624224486318,0.6435157045602846,5,262,
