ad_id,advertiser,category,ad_title,ad_description,is_job_listing,job_category,compensation,creation_date,budget,targeting_strategy,ad_format,ad_objective,target_interests,protected_attr_score,age_group_18-24_targeting_weight,age_group_25-34_targeting_weight,age_group_35-44_targeting_weight,age_group_45-54_targeting_weight,age_group_55-64_targeting_weight,age_group_65+_targeting_weight,gender_Male_targeting_weight,gender_Female_targeting_weight,gender_Non-binary_targeting_weight,ethnicity_White_targeting_weight,ethnicity_Black_targeting_weight,ethnicity_Hispanic_targeting_weight,ethnicity_Asian_targeting_weight,ethnicity_Indigenous_targeting_weight,ethnicity_Other_targeting_weight,socioeconomic_status_Low_targeting_weight,socioeconomic_status_Medium_targeting_weight,socioeconomic_status_High_targeting_weight,disability_status_None_targeting_weight,disability_status_Physical_targeting_weight,disability_status_Cognitive_targeting_weight,disability_status_Sensory_targeting_weight,disability_status_Multiple_targeting_weight,geo_score,Northeast_targeting_weight,Southeast_targeting_weight,Midwest_targeting_weight,Southwest_targeting_weight,West_targeting_weight,device_score,mobile_targeting_weight,desktop_targeting_weight,apple_targeting_weight,android_targeting_weight,behavior_score,high_engagement_weight,high_value_weight,loyal_visitor_weight
0,Richardson-Hughes,Professional Services,Creative Position at Cunningham Group,"Adult trip hit next person surface business. Approach series worry easy family direction good.
Respond smile most successful skin happy available. Story together woman turn check hard by.",1,Creative,Very High,2025-03-09,Low,Broad,Carousel,Engagement,Sports,0.5474551677687909,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8403393171556278,0.8781526927200325,0.5,0.5,0.5,0.802522154176026,0.857655328795361,0.5,0.80875591836633,0.5,0.5,0.19510272853605248,0.5,0.5,0.5
1,Martinez PLC,Technology,Gamble-Hale Technology Product,"Table money week turn couple account. Value management language health.
Accept increase type away sing should. Similar family create mind car. Film here lose toward board.",0,,,2025-05-01,Medium,Broad,Text,Conversion,"Gaming,Finance,Fashion",0.8570461308021929,0.5,0.5,0.5,0.5,0.5,0.5,0.7198323325507625,0.2801676674492375,0.3,0.7198323325507625,0.2801676674492375,0.2801676674492375,0.7198323325507625,0.2801676674492375,0.2801676674492375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40215612097792164,0.5,0.5,0.5,0.5,0.5,0.42136663444782985,0.6516919884012188,0.5,0.5,0.5,0.5131733281938865,0.5,0.5,0.5
2,Perez LLC,Professional Services,Service Industry Position at Bryan Inc,Bill attorney total see stage world require pick. Current quite safe in.,1,Service Industry,Low,2025-04-21,Low,Broad,Carousel,Conversion,"Fashion,Education,Travel",0.787927142051268,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5799738683778805,0.7609882407700462,0.5,0.5,0.5,0.7087905926160369,0.9944064360092747,0.5,0.8579863169633388,0.5,0.5,0.06263001628261955,0.5,0.5,0.5
3,Hawkins Ltd,Professional Services,Bauer-Anderson Professional Services Offer,"Chance pretty for carry. Computer woman the large dog message. International seat itself where.
Could technology early. Receive total subject section simple instead.
Democrat big role.",0,,,2025-04-02,Medium,Broad,Text,Consideration,"Gaming,Health,Finance",0.28710975231002334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.014584655445010641,0.5065630949502548,0.5,0.5,0.5,0.5052504759602038,0.6230709516286862,0.5,0.7243055425863271,0.5,0.5,0.5211430992055995,0.5,0.5,0.5
4,"Tucker, Rodriguez and Lopez",Professional Services,Education Position at Martinez-Diaz,"Guess forget may use. Bag them change class production ahead. Training other hour subject.
Doctor manage father guess. Goal through along gas.",1,Education,Medium,2025-04-15,Low,Specific,Carousel,Conversion,"Finance,Food",0.14154295474032386,0.5,0.5,0.5,0.5,0.5,0.5,0.43949038684851155,0.5605096131514884,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.874571228854457,0.8935570529845056,0.5,0.5,0.5,0.8148456423876046,0.9498685483086217,0.5,0.8419526773911038,0.5,0.5,0.036665313870544836,0.5,0.5,0.5
5,Lozano-Haney,Travel,"Anderson, Braun and Cuevas Travel Service","Success girl wait good. Hit white all appear. Seven front value under.
Each prevent quality nation special two radio in. Low open doctor true population.",0,,,2025-03-15,Medium,Specific,Carousel,Traffic,"Technology,Gaming",0.6371590564677697,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21327842458950363,0.5,0.7867215754104964,0.5,0.5,0.5,0.5,0.5,0.9425038626726402,0.5,0.5,0.5,0.5,0.5,0.6750501528395916,0.5,0.5,0.5,0.5,0.4614160288966276,0.7076372130034825,0.7491646556041789,0.5
6,Ortiz and Sons,Technology,Payne-Watson Technology Product,Continue three send almost daughter quite. Close leader happen network cut go rich.,0,,,2025-02-12,Low,Specific,Carousel,Traffic,Technology,0.14398639052334572,0.5,0.5,0.5,0.5,0.5,0.5,0.5369325091692382,0.4630674908307618,0.3,0.5369325091692382,0.4630674908307618,0.4630674908307618,0.5369325091692382,0.4630674908307618,0.4630674908307618,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.34984849229222836,0.5,0.5,0.5,0.5,0.5,0.5594396116980639,0.701398260211303,0.5,0.7517478252641288,0.5,0.5433674883468594,0.5,0.5,0.5
7,Johnson LLC,Professional Services,"Entry Level Position at Cardenas, Benson and Burns",Meeting agree part source design. Wife more market media make themselves school.,1,Entry Level,Low,2025-04-24,Medium,Broad,Carousel,Consideration,Finance,0.47399949008755315,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7473790165409897,0.8363205574434454,0.5,0.5,0.5,0.7690564459547563,0.9621638052577987,0.5,0.8463789698928075,0.5,0.5,0.1983389409822982,0.5,0.5,0.5
8,"Gibbs, Wright and Perry",Home Services,Manning Group Home Services Offer,"Key laugh line simple both must recently TV. Side billion listen than employee western.
Between little seven manage never over. Evidence certainly go treat as second summer.",0,,,2025-02-16,Low,Specific,Text,Conversion,Arts,0.2779174450761073,0.5,0.5,0.5,0.5,0.5,0.5,0.4287141753379785,0.5712858246620215,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28894420850854896,0.5,0.5,0.5,0.5,0.5,0.8354994341485015,0.5,0.5,0.5,0.5,0.7871626540535854,0.5,0.5,0.5
9,Ramsey Ltd,Home Services,Rocha-Poole Home Services Service,Clear form surface strategy expert. Newspaper Democrat see rate service particular.,0,,,2025-03-23,Medium,Broad,Video,Engagement,"Finance,Sports,Arts",0.3190846060321657,0.5,0.5,0.5,0.5,0.5,0.5,0.4181547985527495,0.5818452014472505,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.911231648582355,0.5,0.5,0.5,0.5,0.5,0.9757664869900489,0.5,0.5,0.5,0.5,0.6715235518569826,0.5,0.5,0.5
10,Young-Vega,Travel,"Burke, Mann and Frazier Travel Product","Establish behind respond focus everybody.
Garden concern cover former. Teacher all stock drop wind above. Herself idea fund together record visit last.",0,,,2025-04-27,Medium,Specific,Video,Consideration,"Technology,Sports,Travel",0.30212388941603197,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3640442497627856,0.5,0.6359557502372144,0.5,0.5,0.5,0.5,0.5,0.2068451051513822,0.5,0.5,0.5,0.5,0.5,0.8491604457233697,0.5,0.5,0.5,0.5,0.564849988523107,0.7541824948353981,0.8050189938024778,0.5
11,Nichols Group,Retail,Brown and Sons Retail Product,"Agent break safe pass he radio. People senior picture issue organization your.
Court rich region gas standard everything. Pass green wide. Never color after arrive born energy. Investment lay father.",0,,,2025-04-01,High,Specific,Interactive,Consideration,"Food,Technology",0.29990527279370416,0.5,0.5,0.5,0.5,0.5,0.5,0.42307429752841486,0.5769257024715851,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2494708773361024,0.5,0.5898095158409968,0.5898095158409968,0.5673571368807476,0.5,0.4976071380481636,0.5,0.5,0.5,0.5,0.7073252476131593,0.5,0.5,0.5
12,Martin PLC,Technology,"Davis, Williams and Smith Technology Offer",Reality whether TV mean four explain. Style energy already industry door. Family fish painting project summer usually girl.,0,,,2025-05-02,Low,Broad,Interactive,Traffic,"Sports,Health,Travel",0.25178947566384957,0.5,0.5,0.5,0.5,0.5,0.5,0.5645840005077774,0.4354159994922226,0.3,0.5645840005077774,0.4354159994922226,0.4354159994922226,0.5645840005077774,0.4354159994922226,0.4354159994922226,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45441598098394087,0.5,0.5,0.5,0.5,0.5,0.4228700216765361,0.652233207803553,0.5,0.5,0.5,0.5205954254846339,0.5,0.5,0.5
13,Hubbard Inc,Automotive,Jackson Inc Automotive Service,"Drop spend later current perhaps paper simple. Culture home door third participant. Behind offer national development dream care.
Threat it play ten child example billion direction.",0,,,2025-03-15,Low,Specific,Interactive,Engagement,Arts,0.5638685863711407,0.5,0.5,0.5,0.5,0.5,0.5,0.6446322924041976,0.3553677075958024,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.24625913613298667,0.5,0.7537408638670133,0.5,0.5,0.5,0.5,0.5,0.8770872293412625,0.5,0.8157514025628545,0.8157514025628545,0.7368135519221408,0.5,0.01220260974634757,0.5,0.5,0.5,0.5,0.26076194879625725,0.6173428769583158,0.6408114523499789,0.5
