impression_id,user_id,ad_id,timestamp,clicked,device,platform,operating_system,browser,connection_type,pages_in_session,session_duration_seconds,visitor_status
0,0,14,2025-04-15 12:08:00,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
1,0,8,2025-04-07 21:01:23,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
2,0,12,2025-05-02 23:14:53,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
3,0,21,2025-04-06 16:09:37,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
4,0,4,2025-04-07 12:18:46,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
5,0,20,2025-04-30 01:43:04,1,mobile,website,Android,Chrome,WiFi,3,249,Returning
6,0,16,2025-04-12 19:06:49,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
7,0,11,2025-04-26 14:27:41,1,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
8,0,17,2025-04-26 08:23:53,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
9,0,15,2025-05-01 16:36:41,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
10,0,18,2025-04-19 18:53:43,0,mobile,search_engine,Android,Chrome,WiFi,3,249,Returning
11,0,23,2025-04-27 20:09:21,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
12,1,24,2025-05-04 15:20:45,0,desktop,app,Windows,Edge,4G,9,849,Returning
13,1,7,2025-04-07 22:15:10,0,desktop,app,Windows,Edge,4G,9,849,Returning
14,1,13,2025-04-16 11:15:45,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
15,1,23,2025-04-14 14:28:08,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
16,1,21,2025-04-22 02:22:56,0,desktop,app,Windows,Edge,4G,9,849,Returning
17,1,11,2025-04-10 07:59:19,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
18,1,2,2025-04-22 00:38:50,0,desktop,app,Windows,Edge,4G,9,849,Returning
19,1,8,2025-05-04 08:35:35,0,desktop,website,Windows,Edge,4G,9,849,Returning
20,1,10,2025-04-20 17:07:47,0,desktop,app,Windows,Edge,4G,9,849,Returning
21,1,4,2025-04-30 00:21:58,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
22,1,16,2025-04-05 18:11:21,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
23,1,22,2025-04-13 05:10:36,0,desktop,website,Windows,Edge,4G,9,849,Returning
24,1,0,2025-04-17 17:36:50,0,desktop,app,Windows,Edge,4G,9,849,Returning
25,1,6,2025-04-30 20:20:54,1,desktop,app,Windows,Edge,4G,9,849,Returning
26,1,15,2025-05-01 21:03:27,1,desktop,app,Windows,Edge,4G,9,849,Returning
27,1,19,2025-04-07 20:09:54,1,desktop,social_media,Windows,Edge,4G,9,849,Returning
28,2,22,2025-04-11 23:40:43,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
