ad_id,advertiser,category,ad_title,ad_description,is_job_listing,job_category,compensation,creation_date,budget,targeting_strategy,ad_format,ad_objective,target_interests,protected_attr_score,age_group_18-24_targeting_weight,age_group_25-34_targeting_weight,age_group_35-44_targeting_weight,age_group_45-54_targeting_weight,age_group_55-64_targeting_weight,age_group_65+_targeting_weight,gender_Male_targeting_weight,gender_Female_targeting_weight,gender_Non-binary_targeting_weight,ethnicity_White_targeting_weight,ethnicity_Black_targeting_weight,ethnicity_Hispanic_targeting_weight,ethnicity_Asian_targeting_weight,ethnicity_Indigenous_targeting_weight,ethnicity_Other_targeting_weight,socioeconomic_status_Low_targeting_weight,socioeconomic_status_Medium_targeting_weight,socioeconomic_status_High_targeting_weight,disability_status_None_targeting_weight,disability_status_Physical_targeting_weight,disability_status_Cognitive_targeting_weight,disability_status_Sensory_targeting_weight,disability_status_Multiple_targeting_weight,geo_score,Northeast_targeting_weight,Southeast_targeting_weight,Midwest_targeting_weight,Southwest_targeting_weight,West_targeting_weight,device_score,mobile_targeting_weight,desktop_targeting_weight,apple_targeting_weight,android_targeting_weight,behavior_score,high_engagement_weight,high_value_weight,loyal_visitor_weight
0,Richardson-Hughes,Professional Services,Creative Position at Cunningham Group,"Adult trip hit next person surface business. Approach series worry easy family direction good.
Respond smile most successful skin happy available. Story together woman turn check hard by.",1,Creative,Very High,2025-03-09,Low,Broad,Carousel,Engagement,Sports,0.5474551677687909,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8403393171556278,0.5840339317155627,0.5,0.5,0.5,0.5672271453724502,0.857655328795361,0.5,0.5686124263036288,0.5,0.5,0.19510272853605248,0.5,0.5,0.5
1,Martinez PLC,Technology,Gamble-Hale Technology Product,"Table money week turn couple account. Value management language health.
Accept increase type away sing should. Similar family create mind car. Film here lose toward board.",0,,,2025-05-01,Medium,Broad,Text,Conversion,"Gaming,Finance,Fashion",0.8570461308021929,0.5,0.5,0.5,0.5,0.5,0.5,0.5102845535696263,0.4897154464303737,0.3,0.5102845535696263,0.4897154464303737,0.4897154464303737,0.5102845535696263,0.4897154464303737,0.4897154464303737,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40215612097792164,0.5,0.5,0.5,0.5,0.5,0.42136663444782985,0.5337093307558264,0.5,0.5,0.5,0.5131733281938865,0.5,0.5,0.5
2,Perez LLC,Professional Services,Service Industry Position at Bryan Inc,Bill attorney total see stage world require pick. Current quite safe in.,1,Service Industry,Low,2025-04-21,Low,Broad,Carousel,Conversion,"Fashion,Education,Travel",0.787927142051268,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5799738683778805,0.5579973868377881,0.5,0.5,0.5,0.5463979094702305,0.9944064360092747,0.5,0.579552514880742,0.5,0.5,0.06263001628261955,0.5,0.5,0.5
3,Hawkins Ltd,Professional Services,Bauer-Anderson Professional Services Offer,"Chance pretty for carry. Computer woman the large dog message. International seat itself where.
Could technology early. Receive total subject section simple instead.
Democrat big role.",0,,,2025-04-02,Medium,Broad,Text,Consideration,"Gaming,Health,Finance",0.28710975231002334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.014584655445010641,0.501458465544501,0.5,0.5,0.5,0.5011667724356008,0.6230709516286862,0.5,0.5498456761302949,0.5,0.5,0.5211430992055995,0.5,0.5,0.5
4,"Tucker, Rodriguez and Lopez",Professional Services,Education Position at Martinez-Diaz,"Guess forget may use. Bag them change class production ahead. Training other hour subject.
Doctor manage father guess. Goal through along gas.",1,Education,Medium,2025-04-15,Low,Specific,Carousel,Conversion,"Finance,Food",0.14154295474032386,0.5,0.5,0.5,0.5,0.5,0.5,0.49716914090519354,0.5028308590948065,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.874571228854457,0.5874571228854457,0.5,0.5,0.5,0.5699656983083565,0.9498685483086217,0.5,0.5759894838646897,0.5,0.5,0.036665313870544836,0.5,0.5,0.5
5,Lozano-Haney,Travel,"Anderson, Braun and Cuevas Travel Service","Success girl wait good. Hit white all appear. Seven front value under.
Each prevent quality nation special two radio in. Low open doctor true population.",0,,,2025-03-15,Medium,Specific,Carousel,Traffic,"Technology,Gaming",0.6371590564677697,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.436284094353223,0.5,0.563715905646777,0.5,0.5,0.5,0.5,0.5,0.9425038626726402,0.5,0.5,0.5,0.5,0.5,0.6750501528395916,0.5,0.5,0.5,0.5,0.4614160288966276,0.5461416028896627,0.5553699234675953,0.5
6,Ortiz and Sons,Technology,Payne-Watson Technology Product,Continue three send almost daughter quite. Close leader happen network cut go rich.,0,,,2025-02-12,Low,Specific,Carousel,Traffic,Technology,0.14398639052334572,0.5,0.5,0.5,0.5,0.5,0.5,0.5017278366862802,0.4982721633137199,0.3,0.5017278366862802,0.4982721633137199,0.4982721633137199,0.5017278366862802,0.4982721633137199,0.4982721633137199,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.34984849229222836,0.5,0.5,0.5,0.5,0.5,0.5594396116980639,0.5447551689358451,0.5,0.5559439611698064,0.5,0.5433674883468594,0.5,0.5,0.5
7,Johnson LLC,Professional Services,"Entry Level Position at Cardenas, Benson and Burns",Meeting agree part source design. Wife more market media make themselves school.,1,Entry Level,Low,2025-04-24,Medium,Broad,Carousel,Consideration,Finance,0.47399949008755315,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7473790165409897,0.574737901654099,0.5,0.5,0.5,0.5597903213232792,0.9621638052577987,0.5,0.5769731044206239,0.5,0.5,0.1983389409822982,0.5,0.5,0.5
8,"Gibbs, Wright and Perry",Home Services,Manning Group Home Services Offer,"Key laugh line simple both must recently TV. Side billion listen than employee western.
Between little seven manage never over. Evidence certainly go treat as second summer.",0,,,2025-02-16,Low,Specific,Text,Conversion,Arts,0.2779174450761073,0.5,0.5,0.5,0.5,0.5,0.5,0.4966649906590867,0.5033350093409132,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28894420850854896,0.5,0.5,0.5,0.5,0.5,0.8354994341485015,0.5,0.5,0.5,0.5,0.7871626540535854,0.5,0.5,0.5
9,Ramsey Ltd,Home Services,Rocha-Poole Home Services Service,Clear form surface strategy expert. Newspaper Democrat see rate service particular.,0,,,2025-03-23,Medium,Broad,Video,Engagement,"Finance,Sports,Arts",0.3190846060321657,0.5,0.5,0.5,0.5,0.5,0.5,0.496170984727614,0.503829015272386,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.911231648582355,0.5,0.5,0.5,0.5,0.5,0.9757664869900489,0.5,0.5,0.5,0.5,0.6715235518569826,0.5,0.5,0.5
