conversion_id,impression_id,user_id,ad_id,conversion_type,conversion_value,timestamp,device,platform
0,57,3,22,Add to Cart,42.76606034889047,2025-05-02 23:47:36,desktop,social_media
1,685,33,7,Application Completed,0.0,2025-04-11 01:29:36,mobile,search_engine
2,722,35,24,Add to Cart,14.529502346146103,2025-05-02 16:47:34,desktop,website
3,783,38,18,Sign Up,0.0,2025-05-03 03:09:58,desktop,social_media
4,868,42,14,Subscription,38.85674009015345,2025-04-19 05:07:50,mobile,social_media
5,924,45,11,Purchase,371.565956395458,2025-04-21 15:50:50,mobile,social_media
6,1137,56,2,Application Completed,0.0,2025-04-14 02:40:24,mobile,social_media
7,1279,63,24,Add to Cart,34.091096307789236,2025-04-20 23:59:07,desktop,search_engine
8,1365,67,8,Sign Up,0.0,2025-04-27 02:31:45,mobile,website
9,1462,72,1,Sign Up,0.0,2025-04-29 12:05:21,mobile,social_media
10,1589,78,13,Purchase,53.04829433999082,2025-04-05 22:34:58,desktop,search_engine
11,1624,81,13,Purchase,407.112398947305,2025-04-19 08:46:41,mobile,social_media
12,2426,123,16,Purchase,82.47025042009305,2025-04-05 07:17:01,mobile,search_engine
13,2457,124,24,Add to Cart,13.266502808460118,2025-05-04 08:14:33,mobile,app
14,2994,150,8,Sign Up,0.0,2025-04-07 06:53:27,mobile,website
15,3201,161,2,Application Started,0.0,2025-04-26 12:05:18,mobile,social_media
16,3807,191,14,Sign Up,0.0,2025-04-12 16:06:16,mobile,social_media
17,4219,213,11,Add to Cart,39.15153909870017,2025-04-21 13:36:32,mobile,social_media
18,4628,233,2,Application Completed,0.0,2025-04-07 00:39:22,mobile,app
19,4656,235,5,Add to Cart,30.357516754071526,2025-04-08 13:40:41,mobile,search_engine
20,4697,237,11,Add to Cart,26.400281476900396,2025-04-18 18:44:57,desktop,search_engine
21,4757,239,14,Sign Up,0.0,2025-04-12 00:56:21,mobile,app
22,4930,249,0,Application Started,0.0,2025-04-30 10:35:17,desktop,social_media
23,5593,283,21,Application Completed,0.0,2025-04-21 04:43:31,mobile,app
24,5733,290,3,Sign Up,0.0,2025-04-14 05:32:27,desktop,search_engine
25,5802,293,22,Add to Cart,11.432481149228884,2025-04-13 13:29:28,mobile,app
26,6047,306,5,Purchase,461.7743918543717,2025-04-07 16:31:59,mobile,app
27,6225,315,19,Subscription,6.6086562729425875,2025-04-20 21:55:54,mobile,app
28,6321,320,21,Application Completed,0.0,2025-04-19 07:06:15,mobile,app
29,6448,326,8,Sign Up,0.0,2025-04-10 23:05:21,mobile,website
