impression_id,user_id,ad_id,timestamp,clicked,device,platform,operating_system,browser,connection_type,pages_in_session,session_duration_seconds,visitor_status
0,0,13,2025-04-15 12:08:05,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
1,0,7,2025-04-07 21:01:28,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
2,0,11,2025-05-02 23:14:58,0,mobile,search_engine,Android,Chrome,WiFi,3,249,Returning
3,0,21,2025-04-06 16:09:42,0,mobile,search_engine,Android,Chrome,WiFi,3,249,Returning
4,0,3,2025-04-07 12:18:51,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
5,0,19,2025-04-30 01:43:09,0,mobile,social_media,Android,Chrome,WiFi,3,249,Returning
6,0,16,2025-04-12 19:06:54,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
7,0,10,2025-04-26 14:27:46,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
8,0,15,2025-04-26 08:23:58,0,mobile,website,Android,Chrome,WiFi,3,249,Returning
9,0,18,2025-05-01 16:36:46,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
10,0,23,2025-04-19 18:53:48,1,mobile,website,Android,Chrome,WiFi,3,249,Returning
11,0,6,2025-04-27 20:09:26,0,mobile,app,Android,Chrome,WiFi,3,249,Returning
12,1,6,2025-05-04 15:20:50,0,desktop,app,Windows,Edge,4G,9,849,Returning
13,1,24,2025-04-07 22:15:15,0,desktop,website,Windows,Edge,4G,9,849,Returning
14,1,8,2025-04-16 11:15:50,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
15,1,14,2025-04-14 14:28:13,0,desktop,website,Windows,Edge,4G,9,849,Returning
16,1,23,2025-04-22 02:23:01,0,desktop,app,Windows,Edge,4G,9,849,Returning
17,1,21,2025-04-10 07:59:24,0,desktop,website,Windows,Edge,4G,9,849,Returning
18,1,13,2025-04-22 00:38:55,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
19,1,3,2025-05-04 08:35:40,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
20,1,10,2025-04-20 17:07:52,0,desktop,website,Windows,Edge,4G,9,849,Returning
21,1,11,2025-04-30 00:22:03,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
22,1,4,2025-04-05 18:11:26,0,desktop,app,Windows,Edge,4G,9,849,Returning
23,1,17,2025-04-13 05:10:41,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
24,1,2,2025-04-17 17:36:55,1,desktop,app,Windows,Edge,4G,9,849,Returning
25,1,1,2025-04-30 20:20:59,0,desktop,app,Windows,Edge,4G,9,849,Returning
26,1,9,2025-05-01 21:03:32,0,desktop,website,Windows,Edge,4G,9,849,Returning
27,1,16,2025-04-07 20:09:59,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
28,1,5,2025-04-11 23:40:48,0,desktop,website,Windows,Edge,4G,9,849,Returning
29,1,7,2025-04-11 12:45:47,0,desktop,app,Windows,Edge,4G,9,849,Returning
30,1,15,2025-04-08 23:29:45,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
31,1,0,2025-04-27 14:08:05,0,desktop,search_engine,Windows,Edge,4G,9,849,Returning
32,1,18,2025-05-02 22:48:12,0,desktop,app,Windows,Edge,4G,9,849,Returning
33,1,20,2025-04-19 03:41:10,0,desktop,app,Windows,Edge,4G,9,849,Returning
34,1,19,2025-04-10 03:58:30,0,desktop,app,Windows,Edge,4G,9,849,Returning
35,1,22,2025-04-12 14:09:35,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
36,1,12,2025-04-05 15:24:03,0,desktop,social_media,Windows,Edge,4G,9,849,Returning
37,2,13,2025-04-10 19:21:04,0,desktop,social_media,iOS,Safari,WiFi,1,470,Returning
38,2,5,2025-04-20 04:11:17,0,desktop,social_media,iOS,Safari,WiFi,1,470,Returning
39,2,22,2025-04-17 01:45:01,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
40,2,14,2025-05-01 18:11:06,0,desktop,social_media,iOS,Safari,WiFi,1,470,Returning
41,2,11,2025-05-04 16:26:58,0,desktop,website,iOS,Safari,WiFi,1,470,Returning
42,2,10,2025-04-12 19:35:59,1,desktop,social_media,iOS,Safari,WiFi,1,470,Returning
43,2,16,2025-04-16 02:39:57,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
44,2,0,2025-04-04 21:47:54,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
45,2,7,2025-04-21 18:29:55,0,desktop,website,iOS,Safari,WiFi,1,470,Returning
46,2,19,2025-04-10 08:52:14,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
47,2,20,2025-05-02 01:15:30,0,desktop,website,iOS,Safari,WiFi,1,470,Returning
48,2,3,2025-04-14 12:14:08,0,desktop,search_engine,iOS,Safari,WiFi,1,470,Returning
49,2,23,2025-05-04 02:57:23,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
50,2,18,2025-04-24 00:17:42,0,desktop,app,iOS,Safari,WiFi,1,470,Returning
51,2,21,2025-04-28 17:40:55,0,desktop,search_engine,iOS,Safari,WiFi,1,470,Returning
52,2,6,2025-04-29 05:17:48,0,desktop,search_engine,iOS,Safari,WiFi,1,470,Returning
53,2,9,2025-04-15 10:19:23,0,desktop,search_engine,iOS,Safari,WiFi,1,470,Returning
54,2,4,2025-04-25 19:21:52,0,desktop,search_engine,iOS,Safari,WiFi,1,470,Returning
55,3,2,2025-04-29 09:33:01,0,desktop,website,Android,Safari,4G,4,244,New
56,3,10,2025-04-09 13:45:50,0,desktop,social_media,Android,Safari,4G,4,244,New
57,3,22,2025-05-02 23:39:36,1,desktop,social_media,Android,Safari,4G,4,244,New
58,3,3,2025-04-25 05:06:45,0,desktop,social_media,Android,Safari,4G,4,244,New
59,3,20,2025-04-24 04:41:41,0,desktop,search_engine,Android,Safari,4G,4,244,New
60,3,13,2025-04-09 01:27:58,0,desktop,social_media,Android,Safari,4G,4,244,New
